"Address","Amount","Date","Details"
"901 Juniper Lane, San Jose, CA 95128","$950,000","October 7, 2025","Charming townhouse with 3 bedrooms, 2.5 bathrooms, and a private patio. The property offered an updated kitchen, hardwood floors, and was conveniently located near shopping centers and major commuter routes."
"567 Pinecrest Drive, San Jose, CA 95123","$1,150,000","November 18, 2025","A spacious single-family home with 5 bedrooms, 4 bathrooms, and a backyard oasis with a swimming pool and spa. The property featured a gourmet kitchen, a home office, and was situated in a family-friendly neighborhood."
"890 Cedar Street, San Jose, CA 95136","$650,000","December 5, 2025","Cozy condo with 2 bedrooms, 1 bathroom, and an open floor plan. The property offered updated interiors, a balcony with mountain views, and was located in a quiet community with nearby amenities."
"123 Oakhurst Avenue, San Jose, CA 95128","$1,850,000","January 17, 2026","Luxurious single-family home with 5 bedrooms, 4.5 bathrooms, and a backyard retreat with a pool and outdoor kitchen. The property boasted high ceilings, a wine cellar, and was nestled in an exclusive gated community."
"456 Juniper Drive, San Jose, CA 95117","$780,000","February 8, 2026","A well-maintained townhouse with 3 bedrooms, 2.5 bathrooms, and an attached garage. The property featured an open-concept layout, a remodeled kitchen, and was conveniently located near parks, schools, and shopping centers."
"789 Pinehurst Court, San Jose, CA 95128","$1,250,000","March 19, 2026","Spacious single-family home with 4 bedrooms, 3 bathrooms, and a backyard with a patio and garden. The property showcased an updated kitchen, a family room with a fireplace, and was situated in a desirable neighborhood."
"234 Cherry Avenue, San Jose, CA 95136","$570,000","April 9, 2026","A cozy condo with 2 bedrooms, 2 bathrooms, and an open floor plan. The property featured a balcony, community amenities including a swimming pool, and was conveniently located near transportation and recreational facilities."
"678 Oakwood Drive, San Jose, CA 95128","$1,450,000","May 21, 2026","Contemporary single-family home with 4 bedrooms, 3.5 bathrooms, and a rooftop deck with city views. The property offered an open-concept layout, high-end finishes, and was located in a vibrant neighborhood near tech companies and dining options."
"345 Juniper Street, San Jose, CA 95117","$810,000","June 7, 2026","A townhouse with 3 bedrooms, 2.5 bathrooms, and an attached garage. The property boasted an updated kitchen, hardwood floors, and was situated in a family-friendly community with nearby parks and shopping centers."
"901 Pinecrest Drive, San Jose, CA 95123","$1,100,000","July 19, 2026","A spacious single-family home with 4 bedrooms, 3 bathrooms, and a landscaped backyard. The property showcased a gourmet kitchen, a master suite with a walk-in closet, and was located in a desirable neighborhood near schools and parks."
"567 Cedar Avenue, San Jose, CA 95136","$780,000","August 6, 2026","Cozy condo with 2 bedrooms, 1 bathroom, and a private balcony. The property offered an updated kitchen, community amenities including a swimming pool, and was conveniently located near shopping centers and transportation."
"890 Oakhurst Lane, San Jose, CA 95128","$1,550,000","September 20, 2026","Elegant single-family home with 5 bedrooms, 4.5 bathrooms, and a backyard oasis with a pool and spa. The property showcased high-end finishes, a gourmet kitchen, and was nestled in a prestigious neighborhood."
"123 Juniper Court, San Jose, CA 95117","$820,000","October 7, 2026","Townhouse with 3 bedrooms, 2.5 bathrooms, and an attached garage. The property featured an open-concept layout, updated appliances, and was conveniently located near schools, parks, and major employers."
"456 Pinehurst Drive, San Jose, CA 95128","$1,200,000","November 18, 2026","A spacious single-family home with 4 bedrooms, 3 bathrooms, and a landscaped backyard. The property offered a gourmet kitchen, a master suite with a walk-in closet, and was situated in a desirable neighborhood near amenities."
